"Label (Grouping)","ZCTA5 94606!!Estimate","ZCTA5 94606!!Margin of Error"
"Total:","38,459","±1,375"
"    White alone","9,453","±838"
"    Black or African American alone","6,558","±1,034"
"    American Indian and Alaska Native alone","400","±191"
"    Asian alone","12,957","±898"
"    Native Hawaiian and Other Pacific Islander alone","166","±137"
"    Some Other Race alone","5,842","±887"
"    Two or More Races:","3,083","±653"
"        Two races including Some Other Race","1,106","±372"
"        Two races excluding Some Other Race, and three or more races","1,977","±467"
