"Label (Grouping)","ZCTA5 94606!!Estimate","ZCTA5 94606!!Margin of Error"
"Total:","38,441","±1,116"
"    White alone","10,577","±894"
"    Black or African American alone","6,965","±687"
"    American Indian and Alaska Native alone","625","±254"
"    Asian alone","14,232","±927"
"    Native Hawaiian and Other Pacific Islander alone","347","±202"
"    Some other race alone","3,693","±661"
"    Two or more races:","2,002","±361"
"        Two races including Some other race","386","±131"
"        Two races excluding Some other race, and three or more races","1,616","±348"
