"Label (Grouping)","ZCTA5 94606!!Estimate","ZCTA5 94606!!Margin of Error"
"Total:","38,303","±1,045"
"    White alone","10,904","±859"
"    Black or African American alone","7,051","±796"
"    American Indian and Alaska Native alone","559","±252"
"    Asian alone","13,801","±972"
"    Native Hawaiian and Other Pacific Islander alone","245","±141"
"    Some other race alone","3,915","±639"
"    Two or more races:","1,828","±301"
"        Two races including Some other race","305","±106"
"        Two races excluding Some other race, and three or more races","1,523","±277"
