"Label (Grouping)","ZCTA5 94606!!Estimate","ZCTA5 94606!!Margin of Error"
"Total:","37,640","±1,873"
"    White alone","10,190","±956"
"    Black or African American alone","6,265","±789"
"    American Indian and Alaska Native alone","338","±145"
"    Asian alone","13,674","±1,564"
"    Native Hawaiian and Other Pacific Islander alone","183","±123"
"    Some other race alone","4,656","±839"
"    Two or more races:","2,334","±485"
"        Two races including Some other race","693","±365"
"        Two races excluding Some other race, and three or more races","1,641","±299"
