Tract ID,Estimate Year,Total population,Under 18 years,Median age (years),18 years and over,Sex
4053.02,2018,"1,352",147,38.1,"1,205",1
4053.02,2018,"1,102",104,40.7,998,0
4054.01,2018,"3,890",574,34.8,"3,316",2
4054.01,2018,"1,833",244,34.7,"1,589",1
4054.01,2018,"2,057",330,36.2,"1,727",0
4054.02,2018,"3,275",723,34.9,"2,552",2
4054.02,2018,"1,646",445,31.2,"1,201",1
4054.02,2018,"1,629",278,37.7,"1,351",0
4055,2018,"4,063",547,36.7,"3,516",2
4055,2018,"1,903",217,36.4,"1,686",1
4055,2018,"2,160",330,37.1,"1,830",0
4056,2018,"3,292",486,36.8,"2,806",2
4056,2018,"1,831",397,34.9,"1,434",1
4056,2018,"1,461",89,39.8,"1,372",0
4057,2018,"3,434",508,36.8,"2,926",2
4057,2018,"1,750",251,36.8,"1,499",1
4057,2018,"1,684",257,37.0,"1,427",0
4058,2018,"4,645",963,35.7,"3,682",2
4058,2018,"2,219",483,35.2,"1,736",1
4058,2018,"2,426",480,37.1,"1,946",0
4059.01,2018,"4,348","1,190",29.7,"3,158",2
4059.01,2018,"1,820",482,32.9,"1,338",1
4059.01,2018,"2,528",708,28.0,"1,820",0
4059.02,2018,"2,979",588,33.6,"2,391",2
4059.02,2018,"1,453",277,33.7,"1,176",1
4059.02,2018,"1,526",311,33.5,"1,215",0
4060,2018,"3,344",326,42.3,"3,018",2
4060,2018,"1,518",116,37.4,"1,402",1
4060,2018,"1,826",210,48.1,"1,616",0
4052,2019,"5,183",573,37.3,"4,610",2
4052,2019,"2,562",273,39.0,"2,289",1
4052,2019,"2,621",300,36.4,"2,321",0
4053.01,2019,"2,954",346,36.5,"2,608",2
4053.01,2019,"1,316",179,36.8,"1,137",1
4053.01,2019,"1,638",167,36.0,"1,471",0
4053.02,2019,"2,373",204,39.5,"2,169",2
4053.02,2019,"1,282",130,36.8,"1,152",1
4053.02,2019,"1,091",74,45.4,"1,017",0
4054.01,2019,"3,648",511,34.6,"3,137",2
4054.01,2019,"1,686",228,34.1,"1,458",1
4054.01,2019,"1,962",283,36.5,"1,679",0
4054.02,2019,"3,357",682,34.6,"2,675",2
4054.02,2019,"1,594",355,32.2,"1,239",1
4054.02,2019,"1,763",327,36.6,"1,436",0
4055,2019,"3,880",541,37.7,"3,339",2
4055,2019,"1,828",247,37.3,"1,581",1
4055,2019,"2,052",294,38.1,"1,758",0
4056,2019,"3,269",465,38.5,"2,804",2
4056,2019,"1,771",340,37.1,"1,431",1
4056,2019,"1,498",125,39.7,"1,373",0
4057,2019,"3,531",517,34.8,"3,014",2
4057,2019,"1,748",255,35.0,"1,493",1
4057,2019,"1,783",262,34.6,"1,521",0
4058,2019,"4,370",968,34.4,"3,402",2
4058,2019,"2,052",510,34.7,"1,542",1
4058,2019,"2,318",458,33.8,"1,860",0
4059.01,2019,"4,426","1,077",30.7,"3,349",2
4059.01,2019,"2,073",524,37.3,"1,549",1
4059.01,2019,"2,353",553,29.1,"1,800",0
4059.02,2019,"2,942",568,36.7,"2,374",2
4059.02,2019,"1,444",246,38.4,"1,198",1
4059.02,2019,"1,498",322,33.6,"1,176",0
4060,2019,"3,796",487,40.8,"3,309",2
4060,2019,"1,713",166,38.4,"1,547",1
4060,2019,"2,083",321,42.2,"1,762",0
4052,2020,"5,159",802,37.8,"4,357",2
4052,2020,"2,561",403,39.6,"2,158",1
4052,2020,"2,598",399,36.5,"2,199",0
4053.01,2020,"2,947",305,35.5,"2,642",2
4053.01,2020,"1,438",175,33.3,"1,263",1
4053.01,2020,"1,509",130,36.1,"1,379",0
4053.02,2020,"2,287",125,37.7,"2,162",2
4053.02,2020,"1,270",75,33.8,"1,195",1
4053.02,2020,"1,017",50,46.0,967,0
4054.01,2020,"3,670",473,36.3,"3,197",2
4054.01,2020,"1,692",175,36.5,"1,517",1
4054.01,2020,"1,978",298,36.0,"1,680",0
4054.02,2020,"3,412",616,35.8,"2,796",2
4054.02,2020,"1,461",274,35.7,"1,187",1
4054.02,2020,"1,951",342,35.9,"1,609",0
4055,2020,"3,674",383,36.7,"3,291",2
4055,2020,"1,730",174,36.0,"1,556",1
4055,2020,"1,944",209,37.5,"1,735",0
4056,2020,"3,171",379,38.9,"2,792",2
4056,2020,"1,593",269,37.6,"1,324",1
4056,2020,"1,578",110,41.5,"1,468",0
4057,2020,"3,308",437,36.4,"2,871",2
4057,2020,"1,598",238,37.9,"1,360",1
4057,2020,"1,710",199,34.4,"1,511",0
4058,2020,"3,931",709,36.5,"3,222",2
