"Label (Grouping)","Census Tract 4052, Alameda County, California!!Estimate","Census Tract 4053.01, Alameda County, California!!Estimate","Census Tract 4053.02, Alameda County, California!!Estimate","Census Tract 4054.01, Alameda County, California!!Estimate","Census Tract 4054.02, Alameda County, California!!Estimate","Census Tract 4055, Alameda County, California!!Estimate","Census Tract 4056, Alameda County, California!!Estimate","Census Tract 4057, Alameda County, California!!Estimate","Census Tract 4058, Alameda County, California!!Estimate","Census Tract 4059.01, Alameda County, California!!Estimate","Census Tract 4059.02, Alameda County, California!!Estimate","Census Tract 4060, Alameda County, California!!Estimate"
"Total:","5,159","2,947","2,287","3,670","3,412","3,674","3,171","3,308","3,931","4,230","3,129","3,890"
"    White alone","2,138","1,708","831","997","779","1,004","919","647","803","660","470","959"
"    Black or African American alone","480","406","361","565","682","866","587","1,077","588","552","322","723"
"    American Indian and Alaska Native alone","0","0","0","0","34","70","102","11","56","34","28","6"
"    Asian alone","2,028","368","893","1,184","1,076","1,308","967","1,152","1,833","1,508","1,552","1,454"
"    Native Hawaiian and Other Pacific Islander alone","20","8","0","0","71","34","0","0","0","43","0","7"
"    Some other race alone","196","209","87","712","671","229","327","221","317","1,065","538","590"
"    Two or more races:","297","248","115","212","99","163","269","200","334","368","219","151"
"        Two races including Some other race","115","77","4","10","0","0","73","27","80","340","55","30"
"        Two races excluding Some other race, and three or more races","182","171","111","202","99","163","196","173","254","28","164","121"
