"Label (Grouping)","Census Tract 4052, Alameda County, California!!Estimate","Census Tract 4053.01, Alameda County, California!!Estimate","Census Tract 4053.02, Alameda County, California!!Estimate","Census Tract 4054.01, Alameda County, California!!Estimate","Census Tract 4054.02, Alameda County, California!!Estimate","Census Tract 4055, Alameda County, California!!Estimate","Census Tract 4056, Alameda County, California!!Estimate","Census Tract 4057, Alameda County, California!!Estimate","Census Tract 4058, Alameda County, California!!Estimate","Census Tract 4059.01, Alameda County, California!!Estimate","Census Tract 4059.02, Alameda County, California!!Estimate","Census Tract 4060, Alameda County, California!!Estimate"
"Total:","5,188","2,955","2,454","3,890","3,275","4,063","3,292","3,434","4,645","4,348","2,979","3,344"
"    White alone","2,242","1,438","1,028","830","572","1,373","1,234","734","1,155","683","496","799"
"    Black or African American alone","649","681","288","929","984","612","538","877","908","811","366","498"
"    American Indian and Alaska Native alone","42","0","8","0","43","32","101","19","99","214","31","10"
"    Asian alone","1,564","344","796","1,418","958","1,737","728","1,231","2,024","1,492","1,548","1,477"
"    Native Hawaiian and Other Pacific Islander alone","21","14","0","0","102","29","0","0","20","41","10","8"
"    Some other race alone","241","242","139","517","485","51","455","398","308","1,048","438","454"
"    Two or more races:","429","236","195","196","131","229","236","175","131","59","90","98"
"        Two races including Some other race","141","38","15","15","0","16","83","12","53","39","34","8"
"        Two races excluding Some other race, and three or more races","288","198","180","181","131","213","153","163","78","20","56","90"
